ID,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,ID_Count,Platform_Count,Activity_Type_Count,USD_Adjusted_Amount,Subscription Duration,Normalized Purchase Amount,Language_ARA,Language_CHI,Language_DAR,Language_DEU,Language_EBR,Language_ENG,Language_ESC,Language_ESP,Language_FAR,Language_FRA,Language_GLE,Language_GRK,Language_HEB,Language_HIN,Language_IND,Language_ITA,Language_JPN,Language_KIS,Language_KOR,Language_LAT,Language_NED,Language_PAS,Language_POL,Language_POR,Language_RUS,Language_SVE,Language_TGL,Language_TUR,Language_URD,Language_VIE
237,Limited,INITIAL_PURCHASE,App,0,,3/25/20,7/6/20,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,7,2,4,,103,-0.018506563,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Limited,RENEWAL,Web,35.97,USD,8/24/19,5/27/20,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,19,1,4,35.97,277,-0.018506444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Limited,INITIAL_PURCHASE,Web,0,USD,12/12/18,6/12/19,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,48,0,0,0,0,25,1,4,0,182,-0.018506563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Limited,RENEWAL,App,0,,10/14/19,4/14/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,27,1,4,,183,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Lifetime,INITIAL_PURCHASE,Web,199,USD,2/23/20,1/1/99,Yes,No,Off,US/Canada,Other,App,Yes,Yes,7,0,0,0,0,11,2,4,199,28802,-0.018505903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Limited,INITIAL_PURCHASE,App,0,,2/3/20,8/3/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,20,0,0,0,0,40,1,4,,182,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Limited,RENEWAL,App,0,,3/20/20,3/5/21,No,Yes,On,Other,Consumer,App,No,Yes,1,0,0,0,0,24,1,4,,350,-0.018506563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Limited,RENEWAL,Web,35.97,USD,1/10/20,7/10/20,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0,21,1,4,35.97,182,-0.018506444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/16/19,12/16/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,5,3,0,2,0,36,1,4,65.94,396,-0.018506345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Limited,RENEWAL,App,54990000,USD,10/11/19,7/14/20,No,Yes,On,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,10,1,4,54990000,277,0.163848381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Limited,INITIAL_PURCHASE,Web,0,USD,6/11/19,12/11/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,41,2,0,2,0,40,1,4,0,183,-0.018506563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Limited,RENEWAL,Web,35.97,USD,3/1/19,6/1/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,41,1,4,35.97,458,-0.018506444,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Limited,RENEWAL,App,0,,10/24/18,10/27/19,No,Yes,Off,US/Canada,Consumer,App,Yes,Yes,17,0,0,0,0,6,1,3,,368,-0.018506563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Limited,RENEWAL,App,0,,3/24/20,3/2/21,No,Yes,Off,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0,10,1,4,,343,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Limited,RENEWAL,Web,119,USD,2/4/19,8/4/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,15,1,3,119,547,-0.018506169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Limited,INITIAL_PURCHASE,Web,57.26082,EUR,11/16/19,5/16/20,Yes,No,Off,Europe,Consumer,Web,Yes,Yes,37,3,0,1,0,20,2,4,57.26082,182,-0.018506373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
